name,code,category,brand,model,serial,condition,quantity,ownership,location,warehouse,qr,description,notes,purchasePrice,replacementValue,currentBookValue
Cover Monitor Mosiso,R-974,MON,,,,Good,3,owned,,,1000891,Cover Monitor Mosiso,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 974; Carpeta Rentman: Monitores/Accesorios Monitores; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Mouse Logitech,R-975,HD,,,,Good,1,owned,,,1000892,Mouse Logitech,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 975; Carpeta Rentman: Hardware/Mouses; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Estuche Teclado Hermit Shell,R-976,CAS,,,,Good,3,owned,,,1000893,Estuche Teclado Hermit Shell,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 976; Carpeta Rentman: Maletas/Cases/Bultos/Estuches; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Straps,R-978,MON,,,,Good,7,owned,,,1000895,Straps,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 978; Carpeta Rentman: Monitores/Accesorios Monitores; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Cable AC MacPro,R-979,POW,,,,Good,4,owned,,,1000898,Cable AC MacPro,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 979; Carpeta Rentman: Power/Alimentadores AC/Asignados; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Teclado Rii RT518S PC con Trackpad,R-980,HD,,,,Good,1,owned,,,1000902,Teclado Rii RT518S PC con Trackpad,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 980; Carpeta Rentman: Hardware/Teclados; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Case Shock Proof Ipad Orange,R-981,CAS,,,,Good,7,owned,,,1000904,Case Shock Proof Ipad Orange,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 981; Carpeta Rentman: Maletas/Cases/Bultos/Cases; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Case Shock Proof Ipad Mini Orange,R-982,CAS,,,,Good,2,owned,,,1000905,Case Shock Proof Ipad Mini Orange,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 982; Carpeta Rentman: Maletas/Cases/Bultos/Cases; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Bulto Tough Built Tool Box Yellow/Black,R-983,CAS,,,,Good,4,owned,,08 F,1000906,Bulto Tough Built Tool Box Yellow/Black,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 983; Carpeta Rentman: Maletas/Cases/Bultos/Bultos; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Cable Network Cat 6 200ft,R-984,NEC,,,,Good,1,owned,,04 A,1000923,Cable Network Cat 6 200ft,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 984; Carpeta Rentman: Cables/Cables Network; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
"Cable Network Cat 6 6"" FT",R-985,NEC,,,,Good,2,owned,,07 E,1000924,"Cable Network Cat 6 6"" FT",Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 985; Carpeta Rentman: Cables/Cables Network; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
